idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	11	25	7	1	2	2.3333333
1	-10	-5	6	25	3	1	2	1
2	-5	-3	4	25	2	2	0	1
3	-3	-2	7	25	2	2	3	0.4
4	-2	-1	27	25	10	11	4	0.66666667
5	-1	-0.5	136	25	58	44	18	0.93548387
6	-0.5	-0.25	755	25	333	256	103	0.9275766
7	-0.25	-0.1	5241	100	3397	1049	490	2.2072775
8	-0.1	0	300563	100	283327	10699	4032	19.233385
9	0	0.1	358705	100	330993	17922	5732	13.993109
10	0.1	0.25	88609	100	70441	13144	2908	4.3883005
11	0.25	0.5	84943	100	67206	13539	2397	4.217244
12	0.5	1	67675	100	52869	11526	1848	3.953118
13	1	2	25938	100	19552	5110	712	3.3582961
14	2	3	2487	55	1763	618	63	2.5888399
15	3	5	234	25	164	66	2	2.4117647
16	5	10	7	25	5	2	0	2.5
17	10	20	2	25	0	1	1	0
