idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	28	25	19	6	2	2.375
1	-10	-5	37	25	27	8	2	2.7
2	-5	-3	44	25	20	22	0	0.90909091
3	-3	-2	68	25	39	21	3	1.625
4	-2	-1	620	25	274	229	78	0.89250814
5	-1	-0.5	1937	43	947	649	227	1.0810502
6	-0.5	-0.25	8672	100	4950	2356	857	1.5406162
7	-0.25	-0.1	75024	100	55206	12222	4509	3.2996235
8	-0.1	0	941821	100	825315	60704	29156	9.1844536
9	0	0.1	1073843	100	927831	72637	36423	8.507528
10	0.1	0.25	203955	100	148791	34146	11019	3.2943872
11	0.25	0.5	127432	100	93118	24100	5158	3.1826509
12	0.5	1	100447	100	73570	20098	3292	3.1453613
13	1	2	41536	100	29559	9523	1116	2.7783626
14	2	3	4556	100	3077	1269	82	2.2775722
15	3	5	383	25	211	156	8	1.2865854
16	5	10	38	25	27	8	1	3
17	10	20	38	25	28	8	2	2.8
