idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	2	25	1	1	0	1
2	-5	-3	2	25	1	1	0	1
3	-3	-2	2	25	1	1	0	1
4	-2	-1	5	25	1	3	1	0.25
5	-1	-0.5	27	25	10	9	1	1
6	-0.5	-0.25	133	25	60	47	15	0.96774194
7	-0.25	-0.1	1173	26	806	239	80	2.5266458
8	-0.1	0	63594	100	57831	3086	1221	13.427212
9	0	0.1	82722	100	72696	5418	1845	10.009087
10	0.1	0.25	27040	100	20994	4235	806	4.1646499
11	0.25	0.5	25980	100	20029	4259	792	3.9653534
12	0.5	1	21012	100	16149	3632	557	3.8550967
13	1	2	7559	100	5656	1466	212	3.3706794
14	2	3	556	25	392	143	6	2.6308725
15	3	5	55	25	36	16	0	2.25
16	5	10	3	25	2	0	1	2
17	10	20	0	0	0	0	0	0
