idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	1	25	0	1	0	0
6	-0.5	-0.25	7	25	2	2	2	0.5
7	-0.25	-0.1	52	25	20	20	9	0.68965517
8	-0.1	0	7790	100	6959	535	177	9.7738764
9	0	0.1	12604	100	10979	1064	314	7.967344
10	0.1	0.25	6153	100	4953	882	175	4.6859035
11	0.25	0.5	6276	100	5048	917	175	4.6227106
12	0.5	1	4822	100	3872	728	126	4.5339578
13	1	2	1700	38	1322	309	41	3.7771429
14	2	3	121	25	85	30	3	2.5757576
15	3	5	7	25	5	2	0	2.5
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
