idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	44	25	22	15	3	1.2222222
1	-10	-5	65	25	40	19	5	1.6666667
2	-5	-3	68	25	30	29	6	0.85714286
3	-3	-2	101	25	50	40	5	1.1111111
4	-2	-1	767	25	331	293	93	0.85751295
5	-1	-0.5	2422	54	1171	827	270	1.0674567
6	-0.5	-0.25	10865	100	6094	3038	1074	1.4820039
7	-0.25	-0.1	96397	100	71194	15635	5701	3.3368016
8	-0.1	0	1507383	100	1342678	86905	38937	10.669554
9	0	0.1	1741055	100	1524113	110075	49773	9.5347643
10	0.1	0.25	354536	100	263874	58530	16355	3.523723
11	0.25	0.5	258771	100	192879	47187	9127	3.425063
12	0.5	1	206320	100	153205	40018	6189	3.3156232
13	1	2	82273	100	59474	18069	2170	2.9385839
14	2	3	8087	100	5459	2247	154	2.273636
15	3	5	711	25	405	270	15	1.4210526
16	5	10	73	25	48	19	4	2.0869565
17	10	20	44	25	33	9	2	3
