idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	42	25	18	12	9	0.85714286
1	-10	-5	60	25	35	14	9	1.5217391
2	-5	-3	33	25	18	10	3	1.3846154
3	-3	-2	38	25	16	11	7	0.88888889
4	-2	-1	170	25	69	63	23	0.80232558
5	-1	-0.5	624	25	284	205	86	0.97594502
6	-0.5	-0.25	3072	68	1451	895	471	1.0622255
7	-0.25	-0.1	20488	100	13784	3658	1966	2.4509246
8	-0.1	0	888973	100	831906	33789	14533	17.215885
9	0	0.1	1064133	100	975681	54940	19850	13.045608
10	0.1	0.25	268151	100	213381	39108	9119	4.4245132
11	0.25	0.5	252508	100	199972	39529	7376	4.2633408
12	0.5	1	200413	100	156654	33889	5501	3.9769992
13	1	2	76780	100	58291	14827	1991	3.4659888
14	2	3	7314	100	5306	1721	163	2.8163482
15	3	5	673	25	457	198	12	2.1761905
16	5	10	32	25	16	7	3	1.6
17	10	20	14	25	5	4	3	0.71428571
