idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	1	25	1	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	2	25	1	1	0	1
5	-1	-0.5	20	25	9	6	3	1
6	-0.5	-0.25	75	25	28	27	12	0.71794872
7	-0.25	-0.1	510	25	287	147	54	1.4278607
8	-0.1	0	55425	100	51614	2376	890	15.803429
9	0	0.1	77013	100	69435	4958	1561	10.651173
10	0.1	0.25	29676	100	23968	4264	825	4.7097662
11	0.25	0.5	28785	100	23144	4264	740	4.6250999
12	0.5	1	22755	100	17871	3790	628	4.045043
13	1	2	8472	100	6483	1598	215	3.5758411
14	2	3	710	25	525	165	11	2.9829545
15	3	5	67	25	48	15	4	2.5263158
16	5	10	3	25	3	0	0	0
17	10	20	1	25	1	0	0	0
