idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	4	25	0	4	0	0
1	-10	-5	8	25	5	2	1	1.6666667
2	-5	-3	5	25	3	2	0	1.5
3	-3	-2	6	25	3	3	0	1
4	-2	-1	26	25	8	16	1	0.47058824
5	-1	-0.5	87	25	38	34	6	0.95
6	-0.5	-0.25	378	25	193	115	39	1.2532468
7	-0.25	-0.1	4077	91	3071	616	249	3.550289
8	-0.1	0	137448	100	126734	5821	2060	16.080954
9	0	0.1	164763	100	147793	8861	3118	12.337674
10	0.1	0.25	40171	100	30959	6330	1360	4.0258778
11	0.25	0.5	36048	100	27599	6192	1050	3.8109638
12	0.5	1	29009	100	21864	5403	820	3.513418
13	1	2	11166	100	8270	2270	284	3.2380579
14	2	3	973	25	659	260	23	2.3286219
15	3	5	96	25	62	28	3	2
16	5	10	6	25	2	4	0	0.5
17	10	20	1	25	1	0	0	0
