idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	0	0	0	0	0	0
5	-1	-0.5	3	25	1	1	0	1
6	-0.5	-0.25	20	25	9	9	2	0.81818182
7	-0.25	-0.1	98	25	60	20	9	2.0689655
8	-0.1	0	14602	100	13405	756	265	13.129285
9	0	0.1	22144	100	19635	1677	522	8.9290587
10	0.1	0.25	9892	100	8041	1347	276	4.9544054
11	0.25	0.5	9451	100	7603	1408	247	4.5939577
12	0.5	1	7760	100	6165	1249	210	4.2254969
13	1	2	2891	64	2251	514	67	3.8743546
14	2	3	231	25	176	45	4	3.5918367
15	3	5	17	25	13	4	0	3.25
16	5	10	0	0	0	0	0	0
17	10	20	1	25	1	0	0	0
