idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	31	25	11	11	7	0.61111111
1	-10	-5	50	25	29	12	7	1.5263158
2	-5	-3	29	25	16	8	3	1.4545455
3	-3	-2	31	25	14	9	4	1.0769231
4	-2	-1	133	25	52	49	19	0.76470588
5	-1	-0.5	431	25	204	139	61	1.02
6	-0.5	-0.25	1985	44	984	516	323	1.1728248
7	-0.25	-0.1	13286	100	9225	2137	1269	2.7084557
8	-0.1	0	399579	100	372159	15372	7576	16.217492
9	0	0.1	452867	100	415834	21497	9265	13.517782
10	0.1	0.25	89859	100	70527	13268	3608	4.1791301
11	0.25	0.5	79848	100	62473	12787	2604	4.0590605
12	0.5	1	63435	100	49245	10889	1801	3.8806147
13	1	2	24896	100	18770	4913	635	3.3832012
14	2	3	2536	56	1842	580	64	2.8602484
15	3	5	249	25	161	78	6	1.9166667
16	5	10	21	25	7	5	3	0.875
17	10	20	10	25	3	3	2	0.6
