idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	3	25	2	1	0	2
2	-5	-3	0	0	0	0	0	0
3	-3	-2	0	0	0	0	0	0
4	-2	-1	8	25	6	2	0	3
5	-1	-0.5	33	25	12	14	4	0.66666667
6	-0.5	-0.25	230	25	95	85	29	0.83333333
7	-0.25	-0.1	1301	29	795	285	135	1.8928571
8	-0.1	0	111014	100	104442	4051	1593	18.504961
9	0	0.1	140800	100	128805	7822	2456	12.532107
10	0.1	0.25	43962	100	35451	6203	1327	4.7079681
11	0.25	0.5	43205	100	34498	6614	1213	4.4075636
12	0.5	1	33966	100	26632	5707	888	4.0382108
13	1	2	12883	100	9913	2383	321	3.6660503
14	2	3	1229	27	915	283	18	3.0398671
15	3	5	99	25	66	33	0	2
16	5	10	1	25	1	0	0	0
17	10	20	0	0	0	0	0	0
